ids,epoch_19,epoch_39
569,0,0
570,7,0
571,0,0
572,18,20
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,1
580,0,1
581,0,0
582,1,3
583,0,40
584,0,0
585,80,59
586,0,0
587,0,0
588,0,0
589,3,1
590,0,0
591,8,4
592,0,10
593,0,0
594,1,0
595,9,16
596,0,0
597,0,0
598,0,0
599,6,0
600,0,0
601,0,0
602,0,0
603,1,8
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,1,2
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,1
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,19,17
626,3,11
627,1,0
628,0,0
629,0,0
630,0,0
631,274,143
632,0,1
633,1,0
634,0,0
635,0,0
636,0,1
637,0,0
638,0,0
639,0,0
640,0,2
641,0,0
642,0,1
643,57,1
644,0,2
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,179,292
655,1042,2104
656,221,416
657,0,0
658,0,0
659,0,2
660,0,0
661,0,0
662,0,0
663,40,0
664,0,0
665,23,0
666,0,4
667,4,9
668,0,0
669,0,0
670,10,4
671,0,0
672,13,46
673,0,0
674,0,7
675,0,0
676,0,1
677,0,0
678,0,0
679,0,1
680,0,0
681,0,0
682,0,3
683,0,0
684,0,0
685,0,0
686,0,0
687,5,19
688,10,2
689,249,396
690,0,0
691,0,0
692,0,0
693,0,0
694,2,1
695,0,0
696,2,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,4
702,0,0
703,0,0
704,0,3
705,0,0
706,0,0
707,0,1
708,0,0
709,0,0
710,0,0
711,0,0
712,3,8
713,0,0
714,0,0
715,0,0
716,0,0
717,11,19
718,0,1
719,0,0
720,0,0
721,0,0
722,0,0
723,177,52
724,0,0
725,0,0
726,8,29
727,0,0
728,0,0
729,0,0
730,0,0
731,14,9
732,0,0
733,18,8
734,119,22
735,3,0
736,1,3
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,1,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,31
751,1,0
752,0,0
753,0,0
754,0,0
755,0,0
756,2,6
757,0,1
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,1,0
771,0,0
772,0,0
773,0,0
774,0,0
775,35,1
776,0,0
777,0,0
778,2,0
779,20,10
780,0,1
781,0,12
782,7,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,1
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,19
795,0,0
796,0,0
797,0,0
798,0,1
799,0,0
800,0,1
801,0,10
802,0,0
803,0,0
804,1,1
805,0,0
806,0,0
807,12,5
808,0,0
809,0,0
810,0,0
811,0,1
812,0,0
813,0,0
814,0,0
815,7,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,1
823,3,0
824,0,0
825,0,0
826,0,0
827,0,1
828,0,0
829,82,192
830,0,0
831,3,0
832,0,0
833,12,6
834,15,9
835,3,18
836,6,5
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,6
843,0,0
844,0,0
845,0,1
846,0,2
847,0,0
848,0,0
849,0,1
850,0,0
851,0,0
852,0,0
853,0,0
854,0,1
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,1,0
864,0,2
865,1,16
866,1,0
867,0,0
868,1,0
869,0,0
870,0,0
871,0,0
872,0,0
873,1,0
874,0,0
875,28,17
876,6,14
877,9,4
878,0,0
879,0,0
880,0,1
881,0,0
882,0,0
883,0,0
884,0,0
885,100,32
886,92,220
887,47,9
888,0,0
889,1,0
890,0,3
891,0,0
892,0,0
893,0,0
894,0,0
895,1,0
896,0,0
897,0,2
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,1
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,5,0
911,1,0
912,0,0
913,7,0
914,0,0
915,0,0
916,3,1
917,1,0
918,1,2
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,2
925,0,0
926,0,0
927,13,5
928,214,319
929,2,5
930,0,0
931,0,0
932,13,1
933,0,0
934,0,0
935,2,0
936,87,29
937,0,0
938,0,0
939,0,0
940,46,48
941,0,0
942,39,0
943,0,0
944,0,0
945,4,2
946,0,0
947,0,0
948,0,0
949,10,1
950,8,0
951,0,0
952,0,3
953,0,1
954,0,0
955,3,0
956,0,0
957,8,0
958,0,0
959,0,0
960,15,6
961,0,0
962,11,5
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,3,5
969,4,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,1
983,0,0
984,0,0
985,0,0
986,18,0
987,0,0
988,0,0
989,0,0
990,0,3
991,0,0
992,0,0
993,1,0
994,0,1
995,0,0
996,0,0
997,38,24
998,0,0
999,2679,3940
1000,1,98
1001,5,53
1002,2,15
1003,2,104
1004,0,13
1005,1,4
1006,4488,4607
1007,9,82
1008,0,0
1009,0,0
1010,0,0
1011,9,10
1012,0,1
1013,0,4
1014,0,0
1015,0,0
1016,0,0
1017,1,1
1018,14,6
1019,6,2
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,16
1028,1,0
1029,0,0
1030,1,0
1031,0,0
1032,0,0
1033,0,0
1034,1,0
1035,0,0
1036,1,0
1037,0,0
1038,0,0
1039,1,1
1040,0,0
1041,4,5
1042,24,2
1043,0,0
1044,0,0
1045,0,0
1046,1,0
1047,0,0
1048,1,8
1049,0,10
1050,0,0
1051,0,0
1052,0,0
1053,12,12
1054,0,0
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,253,255
1061,0,0
1062,0,0
1063,0,0
1064,0,0
1065,2781,1451
1066,0,5
1067,319,399
1068,2,0
1069,0,1
1070,0,0
1071,0,0
1072,0,0
1073,0,0
1074,1,28
1075,0,0
1076,0,1
1077,0,0
1078,0,0
1079,1,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1085,2,7
1086,0,0
1087,0,0
1088,0,1
1089,0,0
1090,0,0
1091,0,0
1092,0,0
1093,0,0
1094,0,0
1095,0,0
1096,0,0
1097,0,2
1098,0,9
1099,0,0
1100,8,18
1101,0,1
1102,0,3
1103,0,14
1104,0,0
1105,0,0
1106,0,0
1107,2,3
1108,0,0
1109,1,34
1110,3,158
1111,1,81
1112,73,90
1113,0,0
1114,0,7
1115,0,1
1116,0,0
1117,0,0
1118,0,0
1119,0,0
1120,0,0
1121,2,0
1122,0,0
1123,0,0
1124,0,0
1125,0,0
1126,1,0
1127,10,28
1128,75,24
1129,109,42
1130,1,0
1131,5,0
1132,0,0
1133,0,0
1134,0,0
1135,1,0
1136,0,0
1137,0,0
1138,0,0
1139,0,0
1140,0,0
1141,0,0
1142,0,0
1143,3,2
1144,5,0
1145,5,7
1146,0,4
1147,0,4
1148,0,42
1149,3,48
1150,0,2
1151,0,0
1152,0,0
1153,0,0
1154,0,0
1155,0,2
1156,1771,2032
1157,0,0
1158,1,3
1159,62,12
1160,20,5
1161,2,2
1162,0,2
1163,1,0
1164,0,0
1165,0,0
1166,0,0
1167,0,0
1168,0,0
1169,100,182
1170,4,1
1171,194,168
1172,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,0,4
1178,0,0
1179,8,0
1180,0,0
1181,0,0
1182,0,0
1183,0,0
1184,0,0
1185,0,0
1186,0,0
1187,0,0
1188,0,0
1189,0,0
1190,0,0
1191,0,0
1192,2,0
1193,21,3
1194,0,0
1195,1,0
1196,0,0
1197,0,0
1198,0,0
1199,0,0
1200,0,1
1201,1,16
1202,4,4
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,0,0
1208,0,0
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,0,0
1214,0,0
1215,0,0
1216,0,0
1217,0,0
1218,0,0
1219,0,0
1220,0,0
1221,0,0
1222,0,0
1223,0,0
1224,0,0
1225,1,0
1226,1,1
1227,0,0
1228,0,0
1229,0,0
1230,0,0
1231,0,0
1232,0,0
1233,0,0
1234,0,0
1235,0,0
1236,0,0
1237,0,0
1238,0,0
1239,0,0
1240,2102,7474
1241,0,0
1242,3,2
1243,0,0
1244,25,59
1245,2713,2670
1246,33,274
1247,245,321
1248,0,0
1249,0,0
1250,1,0
1251,1,73
1252,71,96
1253,0,0
1254,0,1
1255,483,429
1256,2,0
1257,0,0
1258,69,1
1259,27,57
1260,0,0
1261,0,0
1262,11,2
1263,0,0
1264,0,0
1265,0,0
1266,5,3
1267,1,1
1268,1,1
1269,0,0
1270,0,0
1271,0,0
1272,39,23
1273,7,4
1274,0,1
1275,9,1
1276,0,1
1277,0,0
1278,0,0
1279,0,1
1280,0,0
1281,1,7
1282,72,91
1283,1,3
1284,0,0
1285,0,0
1286,0,0
1287,10,1
1288,286,241
1289,4,2
1290,0,0
1291,0,0
1292,0,0
1293,0,1
1294,0,0
1295,0,1
1296,0,0
1297,0,0
1298,3,0
1299,0,0
1300,1,7
1301,0,0
1302,0,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1307,0,0
1308,0,0
1309,2,7
1310,0,0
1311,0,0
1312,0,0
1313,0,0
1314,0,0
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,2,7
1321,0,0
1322,0,0
1323,0,3
1324,0,0
1325,0,0
1326,0,0
1327,0,2
1328,0,0
1329,0,5
1330,0,0
1331,0,0
1332,0,0
1333,1,3
1334,0,0
1335,48,0
1336,0,0
1337,0,0
1338,459,860
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,36,178
1344,0,0
1345,0,0
1346,0,0
1347,0,26
1348,0,4
1349,0,0
1350,0,0
1351,1,3
1352,0,0
1353,0,0
1354,0,0
1355,0,0
1356,0,0
1357,0,0
1358,0,0
1359,0,0
1360,0,0
1361,0,0
1362,0,0
1363,0,0
1364,2,0
1365,0,0
1366,0,0
1367,0,4
1368,0,0
1369,0,0
1370,88,387
1371,0,0
1372,0,0
1373,0,0
1374,0,1
1375,0,0
1376,0,0
1377,0,0
1378,0,0
1379,0,0
1380,0,2
1381,0,0
1382,0,0
1383,0,0
1384,0,0
1385,0,0
1386,0,0
1387,0,0
1388,0,0
1389,1596,2682
1390,0,0
1391,0,0
1392,1,5
1393,0,0
1394,0,1
1395,0,0
1396,0,0
1397,31,1
1398,0,0
1399,0,0
1400,0,0
1401,3,0
1402,0,0
1403,0,0
1404,0,2
1405,0,0
1406,0,0
1407,0,0
1408,4,2
1409,0,0
1410,0,0
1411,0,0
1412,1,16
1413,2,0
1414,0,0
1415,0,0
1416,2,0
1417,0,0
1418,0,0
1419,0,0
1420,0,0
1421,0,0
1422,0,0
1423,0,0
1424,0,0
1425,0,2
1426,0,0
1427,0,0
1428,0,0
1429,0,0
1430,0,0
1431,0,1
1432,0,0
1433,0,0
1434,0,0
1435,0,2
1436,0,0
1437,0,0
1438,1,0
1439,0,0
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,0
1448,0,0
1449,14,35
1450,0,0
1451,1,3
1452,0,0
1453,0,1
1454,0,7
1455,2,1
1456,0,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,5,1
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,3,0
1473,0,0
1474,6,34
1475,0,0
1476,0,0
1477,0,0
1478,1,0
1479,5,20
1480,0,0
1481,0,0
1482,0,0
1483,200,9
1484,0,0
1485,1,0
1486,0,0
1487,0,0
1488,0,0
1489,0,0
1490,0,0
1491,114,2705
1492,3,16
1493,0,0
1494,0,0
1495,0,0
1496,0,0
1497,0,0
1498,0,0
1499,0,0
1500,0,0
1501,45,5
1502,0,0
1503,0,0
1504,0,9
1505,2,0
1506,0,0
1507,5,27
1508,0,0
1509,0,0
1510,33,0
1511,0,0
1512,0,8
1513,0,0
1514,0,0
1515,0,0
1516,33,16
1517,0,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,0,0
1525,0,0
1526,0,2
1527,0,0
1528,0,0
1529,0,0
1530,0,0
1531,0,0
1532,0,0
1533,95,42
1534,0,0
1535,0,0
1536,0,0
1537,0,0
1538,0,0
1539,0,0
1540,0,0
1541,0,0
1542,0,0
1543,0,0
1544,0,0
1545,0,0
1546,0,0
1547,834,271
1548,0,0
1549,0,0
1550,0,0
1551,0,0
1552,0,0
1553,0,0
1554,0,0
1555,0,0
1556,0,0
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0,0
1564,0,0
1565,8,2
1566,0,0
1567,0,0
1568,0,0
1569,0,0
1570,0,0
1571,0,0
1572,0,1
1573,0,0
1574,0,0
1575,0,0
1576,0,0
1577,0,0
1578,0,0
1579,6,17
1580,0,0
1581,3,6
1582,0,0
1583,0,0
1584,4,4
1585,0,1
1586,0,0
1587,0,0
1588,0,0
1589,10,1
1590,0,0
1591,0,25
1592,0,1
1593,0,0
1594,0,0
1595,11,15
1596,0,0
1597,0,0
1598,0,0
1599,365,0
1600,0,0
1601,0,0
1602,0,0
1603,1,0
1604,15,49
1605,0,0
1606,0,0
1607,0,0
1608,0,0
1609,15,54
1610,0,0
1611,0,0
1612,0,0
1613,0,0
1614,0,0
1615,0,0
1616,0,0
1617,0,0
1618,0,0
1619,0,0
1620,0,11
1621,0,0
1622,0,0
1623,0,0
1624,0,0
1625,4,11
1626,0,0
1627,0,0
1628,0,0
1629,0,0
1630,7,3
1631,0,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,0,1
1637,0,0
1638,0,0
1639,421,33
1640,0,0
1641,0,0
1642,0,0
1643,0,0
1644,0,0
1645,0,0
1646,0,0
1647,1,1
1648,0,0
1649,0,0
1650,0,1
1651,0,0
1652,5,90
1653,0,0
1654,0,0
1655,0,0
1656,2,0
1657,0,0
1658,0,0
1659,7,1
1660,0,0
1661,0,0
1662,1,1
1663,0,1
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,0,0
1669,0,0
1670,0,0
1671,0,0
1672,0,0
1673,2,11
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,14,18
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,0,0
1684,0,0
1685,0,0
1686,0,0
1687,0,0
1688,0,3
1689,0,0
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,0,0
1696,6,6
1697,0,0
1698,0,0
1699,4,0
1700,0,0
1701,3,14
1702,0,1
1703,0,0
1704,0,3
1705,0,0
1706,0,0
1707,0,0
1708,0,0
1709,6,0
1710,0,0
1711,2,0
1712,0,0
1713,0,0
1714,3,25
1715,1,3
1716,0,0
1717,0,1
1718,0,0
1719,3,6
1720,14,6
1721,0,0
1722,0,0
1723,1,2
1724,0,2
1725,0,71
1726,0,0
1727,94,12
1728,0,0
1729,3,1
1730,0,0
1731,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1736,20,36
1737,0,0
1738,0,0
1739,3,0
1740,0,0
1741,0,0
1742,0,0
1743,0,1
1744,0,0
1745,3,13
1746,0,0
1747,0,0
1748,0,0
1749,0,0
1750,0,0
1751,0,0
1752,1,1
1753,0,8
1754,0,0
1755,17,16
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,1,0
1763,0,0
1764,0,0
1765,0,0
1766,0,0
1767,6,1
1768,48,358
1769,11,0
1770,0,0
1771,1,0
1772,0,0
1773,17,64
1774,1,0
1775,0,0
1776,0,0
1777,0,0
1778,1,1
1779,2,2
1780,0,0
1781,0,0
1782,3,1
1783,0,0
1784,3,0
1785,0,0
1786,1,0
1787,0,0
1788,4,81
1789,0,0
1790,1,0
1791,3,2
1792,0,1
1793,0,14
1794,0,0
1795,1,12
1796,0,0
1797,0,5
1798,0,0
1799,0,0
1800,2,0
1801,0,0
1802,1,0
1803,6,27
1804,0,0
1805,0,3
1806,0,0
1807,0,0
1808,14,0
1809,0,0
1810,16,11
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,1,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,1
1821,1,2
1822,0,0
1823,7,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,3,1
1834,0,0
1835,22,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,2,3
1841,0,0
1842,42,9
1843,0,0
1844,7,8
1845,2,0
1846,0,0
1847,11,32
1848,0,0
1849,0,0
1850,26,453
1851,0,2
1852,0,0
1853,3,7
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,2
1862,0,0
1863,4,9
1864,0,0
1865,0,0
1866,0,0
1867,14,6
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,1,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,1
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,1,1
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,1
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,1,1
1898,0,0
1899,0,1
1900,0,0
1901,0,0
1902,0,0
1903,146,18
1904,0,0
1905,0,3
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,1,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,2
1917,0,3
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,1
1923,0,0
1924,0,9
1925,0,1
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,1,1
1931,0,0
1932,0,0
1933,0,1
1934,0,0
1935,0,0
1936,0,0
1937,1,1
1938,0,0
1939,0,2
1940,0,0
1941,0,0
1942,0,1
1943,0,0
1944,1,7
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,1
1955,4,19
1956,55,65
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,8,4
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,6,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,6,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,5,0
1982,0,0
1983,0,0
1984,2,0
1985,0,0
1986,0,6
1987,0,1
1988,0,0
1989,0,0
1990,3,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,1,1
2000,0,5
2001,0,1
2002,7,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,331,31
2016,41,11
2017,0,0
2018,0,0
2019,0,0
2020,0,0
2021,0,0
2022,0,0
2023,0,0
2024,0,0
2025,0,2
2026,0,0
2027,1,0
2028,1,0
2029,0,0
2030,0,0
2031,0,0
2032,0,0
2033,0,2
2034,0,0
2035,0,0
2036,3,0
2037,0,0
2038,0,0
2039,0,0
2040,24,22
2041,0,0
2042,0,0
2043,0,0
2044,9,11
2045,0,0
2046,0,0
2047,74,5
2048,1,0
2049,0,0
2050,4,3
2051,0,0
2052,0,1
2053,0,0
2054,7,3
2055,0,0
2056,0,0
2057,0,0
2058,0,0
2059,0,0
2060,0,0
2061,0,0
2062,2,5
2063,0,0
2064,0,0
2065,0,0
2066,0,0
2067,0,0
2068,0,0
2069,0,1
2070,0,0
2071,0,0
2072,1,0
2073,0,0
2074,0,0
2075,0,0
2076,0,1
2077,0,0
2078,0,0
2079,0,0
2080,0,0
2081,0,0
2082,8,0
2083,0,0
2084,0,0
2085,1,5
2086,0,0
2087,0,0
2088,0,0
2089,86,15
2090,0,0
2091,0,0
2092,0,0
2093,4,0
2094,0,0
2095,0,1
2096,0,0
2097,0,1
2098,0,0
2099,4,0
2100,0,0
2101,0,0
2102,0,0
2103,1,0
2104,0,0
2105,0,0
2106,0,0
2107,0,0
2108,0,0
2109,37,20
2110,0,0
2111,0,0
2112,102,29
2113,0,0
2114,0,0
2115,0,0
2116,0,1
2117,0,0
2118,0,0
2119,0,0
2120,3,10
2121,0,0
2122,8,12
2123,0,0
2124,0,0
2125,0,0
2126,1,0
2127,2,1
2128,1,0
2129,0,0
2130,0,0
2131,0,0
2132,0,0
2133,0,0
